Designator,Mid X,Mid Y,Layer,Rotation
C1,50.4700mm,12.4325mm,Top,180
C2,49.8800mm,14.6325mm,Top,180
C3,67.2200mm,12.5000mm,Top,0
C4,68.5600mm,54.0525mm,Top,270
C5,57.2200mm,14.5000mm,Top,90
C6,42.9600mm,20.2025mm,Top,180
C7,42.7900mm,35.9025mm,Top,180
C8,43.0600mm,40.8025mm,Top,180
C9,43.2900mm,56.4025mm,Top,180
C10,40.4600mm,62.6025mm,Top,270
C11,68.5600mm,78.3025mm,Top,180
C14,20.9500mm,59.3025mm,Top,180
C15,36.7500mm,87.7500mm,Top,270
C16,49.1400mm,82.4500mm,Top,270
C17,33.3500mm,42.2025mm,Top,270
C18,35.8700mm,76.7425mm,Top,90
C19,49.2400mm,86.0425mm,Top,90
C20,32.0500mm,59.4025mm,Top,270
C21,27.1500mm,35.3025mm,Top,90
C22,30.6700mm,91.6425mm,Top,180
C23,30.5000mm,73.3425mm,Top,180
C24,54.1400mm,75.6000mm,Top,180
C25,56.5600mm,87.8025mm,Top,270
C30,41.4800mm,12.8325mm,Top,90
C31,40.8600mm,28.0025mm,Top,270
C32,40.9600mm,48.7025mm,Top,270
C33,40.5600mm,67.2025mm,Top,90
D1,70.6600mm,34.1025mm,Top,180
D2,63.8600mm,34.1025mm,Top,0
D3,60.5600mm,55.6025mm,Top,180
J1,54.3200mm,5.2300mm,Top,180
J2,6.2900mm,87.7500mm,Top,270
J3,6.4000mm,64.0000mm,Top,270
J4,29.3500mm,11.7100mm,Top,180
J6,12.7000mm,10.0000mm,Top,270
J7,12.7000mm,34.0000mm,Top,270
J8,12.7000mm,46.0000mm,Top,270
J9,12.7000mm,22.0000mm,Top,270
L1,67.1600mm,25.5025mm,Top,180
L2,66.9600mm,42.7025mm,Top,0
L3,67.0600mm,65.3025mm,Top,0
LED2,19.0000mm,95.0525mm,Top,90
LED3,21.5000mm,95.0525mm,Top,90
LED4,24.0000mm,95.0525mm,Top,90
PTC1,32.8000mm,26.6000mm,Top,90
PTC2,22.4700mm,74.7425mm,Top,180
PTC3,47.3600mm,90.8025mm,Top,0
R1,38.8600mm,29.5025mm,Top,90
R2,38.8600mm,26.2025mm,Top,270
R3,39.0600mm,50.5025mm,Top,270
R4,39.0600mm,46.9025mm,Top,90
R5,38.5600mm,67.3525mm,Top,270
R6,38.5600mm,64.1525mm,Top,90
R7,33.8000mm,32.8000mm,Top,270
R8,24.7500mm,71.0000mm,Top,180
R9,42.5600mm,90.9025mm,Top,180
R11,49.8800mm,10.2025mm,Top,0
R12,42.4700mm,18.2900mm,Top,0
R13,41.4500mm,15.9400mm,Top,90
TVS1,32.6000mm,20.2000mm,Top,90
TVS2,20.5700mm,79.1425mm,Top,90
TVS3,46.7600mm,94.1025mm,Top,0
U1,44.2800mm,14.0325mm,Top,180
U2,49.0000mm,25.1025mm,Top,180
U3,49.2000mm,45.9025mm,Top,180
U4,48.5600mm,64.4025mm,Top,180
U6,29.4600mm,47.9025mm,Top,180
U7,32.9700mm,82.5425mm,Top,180
U8,44.6500mm,83.8025mm,Top,0
